client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
16e61e303c6c87fcdc193aea04fba3adb250109d471b0f8ca3d8baf8a5952c7242c505331e0c8f1acaff6367dcca7f4d27c3551b586e6932637770ac28c8f1d0	common_voice_fi_30441901.mp3	"En tiiä, mitä näin"", yritin epätoivoisesti valehdella itseni turvaan tilanteesta."	2	0	twenties	male		fi	
369ff087e75cf4a4b19d2a62fc4911f92e827e194e19aa4393a00699d7d02fc4559c22824cfa5919dd7fe6f7cc8cfc7344ec0e8fd81e18ce7c5005adbd5ddbb0	common_voice_fi_30517503.mp3	Rauhaa minä tahdon.	2	0	fifties	male	Native neutral	fi	
417e999b06de497144e0932b74adddd1b290dd34bc0c2a0bddd4f3e6bf93cb285178bdb27806350956e94b3ea8d513742a76cfd8f2a11fe280309c3491f63e85	common_voice_fi_30546681.mp3	Kaupungissa ei häntä tarpeeksi tunneta puodeissa.	2	0	twenties	male	Kainuu	fi	
57d01ed1c2d1ea8be63933858cd586d195db1d09dfb07f98d9c71f561b8d7cef9e7543c294c820d4e2a07a48e10bfd4107a647e2a14a22dcb25fd3af203958d6	common_voice_fi_28285850.mp3	Muut olivat jo ikkunoiden luona yläkerrassa katsomassa, kun arkku ammuttaisiin ulos.	2	0	fourties	male		fi	
68922bfeffb72b8c29bc7bc5eb360b276b425b9a251bdbbc575eec620e3a9fdda192daab3d941a3620adf83e6b2b693797ad70a3dd4391d0e4fa4e1ad1ab0a18	common_voice_fi_25060498.mp3	Emme tarvitsisi hänestä toista vihollista.	2	0				fi	
931320ffb2e3cab487a7e578f53a81fbf27985109b21607bb492e93bc3215a73a014259ca58e185f2e74ff864df47e8d47d2119b9b9721c2fbd7ba7b227289fd	common_voice_fi_27432914.mp3	Anglosaksinen malli on näkymättömän, kapitalistisen käden malli.	2	0				fi	
b9eee65f68f8306cf0c3e7e561d819b79f91d90e07a94efb9b95a9680c5f00d6c1e19a620c0a246690dc9d4fcf9ad9e3ebbea0c5c02e2e24a86a02357d01497b	common_voice_fi_27918261.mp3	Amsterdamin sopimuksella on saatu aikaan sosiaalinen tasapaino.	2	0				fi	
c0c1f82f652460e620aaf54be630c6bfbcff63d4c51b93b69b7dbeb31c68ad0d96f55cb120e88283a0444570a06ad6b151a7084b511945ffc94470f1a7f3c073	common_voice_fi_26191587.mp3	Semmoista hirmuisen lapsellista.	2	0	thirties	male		fi	
c88b6df9f5181e72acb1e102a50406d1881a2497f04524e25afc04c38fc6afbba7c2f2893be493b14e1d4e77dc85e692fdf5cd48fcae7ec72692dcbd2e8588d0	common_voice_fi_27390421.mp3	Äänestämme tästä ehdotuksesta nimenhuutoäänestyksellä.	2	0				fi	
d271321e2226d2aa68f3d075d400a36c8eeea157af7391155d529f983f157aaa83869704e53c0371611bfc1f9de0af5127df7894bc0dd0ba3443742762b716af	common_voice_fi_28030810.mp3	Äänestämme joka tapauksessa tämän määräyksen sisältävää päätöslauselmaa vastaan.	2	0				fi	
fdab1b17dd0aa97e37b1d8249047ac7289469fdc06260748d2847f523053636c5ff17d7c1f4b0c0d5bbf7b0a844843794af3fcfc5c5756751bfd3dab509ed6c9	common_voice_fi_27638247.mp3	Piilee kuin mäyrä omassa kolossaan.	2	0				fi	
1df560808061028bcbbf5483a7542f70d7e8f3864e0c285613a5f7b19047ef1bc1d208810d1774faf26fe3b7e517353e3e6b94d1ddb0eea434842f6a1302041c	common_voice_fi_27988180.mp3	En ollut uskoa sitä näkyä, joka seurasi videolla.	2	0				fi	
1df560808061028bcbbf5483a7542f70d7e8f3864e0c285613a5f7b19047ef1bc1d208810d1774faf26fe3b7e517353e3e6b94d1ddb0eea434842f6a1302041c	common_voice_fi_27991908.mp3	Äänestettävänä ei ole yhtään mietintöä tai asiakirjaa tällä otsikolla.	2	0				fi	
86bc1e2f3b792ef70525b7ef2cc6213cc0b2d8f8d5e745b4f60f67afd480027a20e6e6837c754ab68a0b5dc8c785dd5ec679d4d9d34a41f55873e6cd17310752	common_voice_fi_29825371.mp3	Andijanin tapahtumista on myös järjestetty kaksi kierrosta asiantuntijatason neuvotteluja.	4	0	twenties	other	Native,Espoo,Helsinki	fi	
